Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,19/05/18,Celta,4,1,0,0,Levante,2,3,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Municipal de Balaidos,"Vigo, Spain",10851.0
Round 38,19/05/18,Leganés,3,1,0,1,Betis,2,0,0,0,Jesus Gil Manzano,5.27,0.26,Estadio Municipal de Butarque,"Leganes, Spain",10813.0
Round 38,19/05/18,Las Palmas,1,1,0,0,Girona,2,2,0,0,Santiago Jaime Latre,5.58,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",6362.0
Round 38,19/05/18,Málaga,0,4,0,0,Getafe,1,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,La Rosaleda,"Malaga, Spain",9570.0
Round 38,19/05/18,Sevilla,1,2,0,0,Alavés,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",22513.0
Round 38,19/05/18,Villarreal,2,4,0,0,Real Madrid,2,3,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Estadio de la Ceramica,"Villarreal, Spain",18891.0
Round 38,20/05/18,Valencia,2,0,0,0,Deportivo,1,0,0,0,David Medie Jimenez,4.94,0.31,Mestalla,"Valencia, Spain",35376.0
Round 38,20/05/18,Athletic Club,0,0,0,0,Espanyol,1,1,0,0,David Fernandez Borbalan,5.63,0.31,San Mamés,"Bilbao, Spain",28492.0
Round 38,20/05/18,Atl. Madrid,2,5,0,1,Eibar,2,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Cívitas Metropolitano,"Madrid, Spain",63229.0
Round 38,20/05/18,Barcelona,1,3,0,0,Real Sociedad,0,2,0,0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",84168.0
Round 37,12/5/2018,Real Sociedad,3,1,0,0,Leganés,2,2,0,0,David Medie Jimenez,4.94,0.31,Reale Arena,"San Sebastian, Spain",19981.0
Round 37,12/5/2018,Alavés,3,2,0,0,Athletic Club,1,5,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19458.0
Round 37,12/5/2018,Deportivo,2,3,0,0,Villarreal,4,0,0,0,Alejandro Hernandez,5.51,0.27,Riazor,"La Coruna, Spain",12789.0
Round 37,12/5/2018,Eibar,1,3,0,0,Las Palmas,0,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5107.0
Round 37,12/5/2018,Getafe,0,3,0,0,Atl. Madrid,1,2,0,0,Javier Alberola Rojas,3.7,0.15,Coliseum Alfonso Pérez,"Getafe, Spain",12187.0
Round 37,12/5/2018,Girona,0,2,0,0,Valencia,1,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadi Montilivi,"Girona, Spain",10850.0
Round 37,12/5/2018,Betis,2,1,0,0,Sevilla,2,4,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Benito Villamarin,"Seville, Spain",55588.0
Round 37,12/5/2018,Real Madrid,6,0,0,0,Celta,0,1,0,0,Pablo Gonzales Fuertes,5.91,0.37,Santiago Bernabéu,"Madrid, Spain",56474.0
Round 37,13/05/18,Espanyol,4,0,0,0,Málaga,1,2,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",15004.0
Round 37,13/05/18,Levante,5,6,0,0,Barcelona,4,7,0,0,Mario Melero Lopez,5.55,0.21,Ciudad de Valencia,"Valencia, Spain",22383.0
Round 36,4/5/2018,Sevilla,1,4,0,0,Real Sociedad,0,2,0,0,Santiago Jaime Latre,5.58,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",34733.0
Round 36,5/5/2018,Girona,1,2,0,0,Eibar,4,5,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Estadi Montilivi,"Girona, Spain",9706.0
Round 36,5/5/2018,Athletic Club,2,0,0,0,Betis,0,2,0,0,Javier Alberola Rojas,3.7,0.15,San Mamés,"Bilbao, Spain",34491.0
Round 36,5/5/2018,Celta,1,4,0,0,Deportivo,1,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",20816.0
Round 36,5/5/2018,Villarreal,1,5,0,0,Valencia,0,3,0,0,Jesus Gil Manzano,5.27,0.26,Estadio de la Ceramica,"Villarreal, Spain",19079.0
Round 36,6/5/2018,Málaga,0,2,0,0,Alavés,3,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,La Rosaleda,"Malaga, Spain",14024.0
Round 36,6/5/2018,Atl. Madrid,0,1,0,0,Espanyol,2,3,0,0,José Luis Munuera Montero,4.75,0.37,Cívitas Metropolitano,"Madrid, Spain",49834.0
Round 36,6/5/2018,Las Palmas,0,0,0,0,Getafe,1,2,0,0,Alberto Undiano,4.53,0.14,Gran Canaria,"Las Palmas de Gran Canaria, Spain",4624.0
Round 36,6/5/2018,Barcelona,2,3,1,0,Real Madrid,2,5,0,0,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",97939.0
Round 36,7/5/2018,Leganés,0,5,1,0,Levante,3,1,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio Municipal de Butarque,"Leganes, Spain",7832.0
Round 35,27/04/18,Levante,2,1,0,0,Sevilla,1,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ciudad de Valencia,"Valencia, Spain",17240.0
Round 35,28/04/18,Espanyol,1,2,0,0,Las Palmas,1,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,RCDE Stadium,"Cornella, Spain",13589.0
Round 35,28/04/18,Real Sociedad,3,3,1,0,Athletic Club,1,6,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Reale Arena,"San Sebastian, Spain",23972.0
Round 35,28/04/18,Real Madrid,2,0,0,0,Leganés,1,1,1,0,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",59905.0
Round 35,28/04/18,Villarreal,4,2,0,0,Celta,1,0,0,0,Javier Alberola Rojas,3.7,0.15,Estadio de la Ceramica,"Villarreal, Spain",14135.0
Round 35,29/04/18,Getafe,1,6,1,0,Girona,1,4,0,0,Alejandro Hernandez,5.51,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",8011.0
Round 35,29/04/18,Alavés,0,5,0,0,Atl. Madrid,1,5,0,1,David Fernandez Borbalan,5.63,0.31,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18944.0
Round 35,29/04/18,Valencia,0,2,0,0,Eibar,0,3,0,0,Santiago Jaime Latre,5.58,0.22,Mestalla,"Valencia, Spain",40328.0
Round 35,29/04/18,Deportivo,2,1,0,0,Barcelona,4,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Riazor,"La Coruna, Spain",25721.0
Round 35,30/04/18,Betis,2,1,0,0,Málaga,1,4,0,0,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",53163.0
