Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,23/05/15,Levante,0,2,0,0,Elche,0,3,0,0,Mario Melero Lopez,5.55,0.21,Ciudad de Valencia,"Valencia, Spain",11847.0
Round 38,23/05/15,Almería,2,2,0,0,Valencia,3,5,0,1,Alejandro Hernandez,5.51,0.27,Estadio del Mediterráneo,"Almeria, Spain",11137.0
Round 38,23/05/15,Athletic Club,4,0,0,0,Villarreal,0,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,San Mamés,"Bilbao, Spain",43276.0
Round 38,23/05/15,Barcelona,2,1,0,0,Deportivo,2,3,0,0,Carlos Clos Gomez,5.33,0.3,Spotify Camp Nou,"Barcelona, Spain",93743.0
Round 38,23/05/15,Celta,3,2,1,0,Espanyol,2,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",18385.0
Round 38,23/05/15,Eibar,3,1,0,0,Córdoba,0,0,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Ipurua Municipal Stadium,"Eibar, Spain",6065.0
Round 38,23/05/15,Granada,0,0,0,0,Atl. Madrid,0,0,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",20848.0
Round 38,23/05/15,Málaga,2,2,1,0,Sevilla,3,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,La Rosaleda,"Malaga, Spain",23103.0
Round 38,23/05/15,Rayo Vallecano,2,1,0,0,Real Sociedad,4,1,0,0,Fernando Teixeira Vitienes,5.79,0.44,Estadio de Vallecas,"Madrid, Spain",9513.0
Round 38,23/05/15,Real Madrid,7,2,0,0,Getafe,3,2,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Santiago Bernabéu,"Madrid, Spain",63769.0
Round 37,17/05/15,Atl. Madrid,0,5,0,0,Barcelona,1,3,0,0,Alberto Undiano,4.53,0.14,Vicente Calderón,"Madrid, Spain",53254.0
Round 37,17/05/15,Córdoba,1,0,0,0,Rayo Vallecano,2,0,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Arcángel,"Cordoba, Spain",7000.0
Round 37,17/05/15,Deportivo,2,3,0,0,Levante,0,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Riazor,"La Coruna, Spain",30251.0
Round 37,17/05/15,Elche,2,2,0,0,Athletic Club,3,2,0,0,Alejandro Hernandez,5.51,0.27,Estadio Martínez Valero,"Elche, Spain",22693.0
Round 37,17/05/15,Espanyol,1,2,0,0,Real Madrid,4,4,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",30180.0
Round 37,17/05/15,Getafe,1,0,0,0,Eibar,1,2,0,0,Carlos Clos Gomez,5.33,0.3,Coliseum Alfonso Pérez,"Getafe, Spain",7200.0
Round 37,17/05/15,Real Sociedad,0,1,0,0,Granada,3,2,0,0,Javier Estrada Fernandez,5.38,0.25,Reale Arena,"San Sebastian, Spain",20644.0
Round 37,17/05/15,Sevilla,2,0,0,0,Almería,1,4,1,0,Inaki Vicandi Garrido,4.39,0.32,Ramón Sánchez Pizjuán,"Seville, Spain",32511.0
Round 37,17/05/15,Valencia,1,1,0,0,Celta,1,5,0,0,Jesus Gil Manzano,5.27,0.26,Mestalla,"Valencia, Spain",35000.0
Round 37,17/05/15,Villarreal,2,3,0,0,Málaga,1,1,0,0,Carlos Velasco Carballo,5.42,0.29,Estadio de la Ceramica,"Villarreal, Spain",19000.0
Round 36,8/5/2015,Eibar,0,2,0,0,Espanyol,2,4,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Ipurua Municipal Stadium,"Eibar, Spain",5648.0
Round 36,9/5/2015,Granada,2,2,0,0,Córdoba,0,3,0,2,Fernando Teixeira Vitienes,5.79,0.44,Estadio Nuevo Los Carmenes,"Granada, Spain",19266.0
Round 36,9/5/2015,Barcelona,2,1,0,0,Real Sociedad,0,5,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Spotify Camp Nou,"Barcelona, Spain",86047.0
Round 36,9/5/2015,Real Madrid,2,4,0,0,Valencia,2,4,0,0,Carlos Clos Gomez,5.33,0.3,Santiago Bernabéu,"Madrid, Spain",79000.0
Round 36,9/5/2015,Athletic Club,1,4,0,0,Deportivo,1,4,0,0,Jesus Gil Manzano,5.27,0.26,San Mamés,"Bilbao, Spain",39670.0
Round 36,10/5/2015,Levante,2,2,0,0,Atl. Madrid,2,2,0,0,Alejandro Hernandez,5.51,0.27,Ciudad de Valencia,"Valencia, Spain",19314.0
Round 36,10/5/2015,Villarreal,1,1,0,0,Elche,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de la Ceramica,"Villarreal, Spain",13629.0
Round 36,10/5/2015,Almería,1,3,0,0,Málaga,2,4,0,0,Eduardo Prieto Iglesias,4.81,0.21,Estadio del Mediterráneo,"Almeria, Spain",10843.0
Round 36,10/5/2015,Celta,1,3,0,0,Sevilla,1,5,0,0,Carlos Velasco Carballo,5.42,0.29,Municipal de Balaidos,"Vigo, Spain",18957.0
Round 36,11/5/2015,Rayo Vallecano,2,2,1,0,Getafe,0,1,1,0,Pedro Jesus Perez Montero,5.26,0.25,Estadio de Vallecas,"Madrid, Spain",
Round 35,1/5/2015,Real Sociedad,3,2,0,0,Levante,0,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",18821.0
Round 35,2/5/2015,Córdoba,0,1,0,0,Barcelona,8,0,0,0,Carlos Clos Gomez,5.33,0.3,Estadio Nuevo Arcángel,"Cordoba, Spain",13775.0
Round 35,2/5/2015,Atl. Madrid,0,2,0,0,Athletic Club,0,3,0,1,Santiago Jaime Latre,5.58,0.22,Vicente Calderón,"Madrid, Spain",48452.0
Round 35,2/5/2015,Sevilla,2,4,0,0,Real Madrid,3,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",39689.0
Round 35,2/5/2015,Deportivo,1,1,0,0,Villarreal,1,5,0,0,Alejandro Hernandez,5.51,0.27,Riazor,"La Coruna, Spain",20817.0
Round 35,3/5/2015,Espanyol,1,4,0,1,Rayo Vallecano,1,1,0,0,Fernando Teixeira Vitienes,5.79,0.44,RCDE Stadium,"Cornella, Spain",16479.0
Round 35,3/5/2015,Getafe,1,3,0,0,Granada,2,4,0,0,Eduardo Prieto Iglesias,4.81,0.21,Coliseum Alfonso Pérez,"Getafe, Spain",
