Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 14,05/12/15,Real Madrid,1,0,0,Getafe,0,0,0,Antonio Mateu Lahoz,5.18,0.22,Santiago Bernabéu,"Madrid, Spain",64897
Round 14,05/12/15,Granada,2,0,0,Atl. Madrid,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,Estadio Nuevo Los Carmenes,"Granada, Spain",15872
Round 14,05/12/15,Valencia,3,0,0,Barcelona,1,0,0,Santiago Jaime Latre,5.58,0.22,Mestalla,"Valencia, Spain",46799
Round 14,05/12/15,Deportivo,2,0,0,Sevilla,3,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Riazor,"La Coruna, Spain",25013
Round 14,05/12/15,Betis,5,0,0,Celta,5,1,0,Alejandro Hernandez,5.52,0.27,Benito Villamarin,"Seville, Spain",33762
Round 14,06/12/15,Real Sociedad,3,0,0,Eibar,3,0,0,Mario Melero Lopez,5.53,0.2,Reale Arena,"San Sebastian, Spain",25013
Round 14,06/12/15,Villarreal,1,0,0,Rayo Vallecano,4,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",16101
Round 14,06/12/15,Sporting,2,0,0,Las Palmas,2,0,1,Alberto Undiano,4.53,0.14,El Molinón,"Gijon, Spain",22665
Round 14,06/12/15,Athletic Club,2,1,0,Málaga,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,San Mamés,"Bilbao, Spain",42000
Round 14,07/12/15,Espanyol,4,0,0,Levante,5,0,0,Carlos Velasco Carballo,5.42,0.29,RCDE Stadium,"Cornella, Spain",14875
Round 13,27/11/15,Levante,6,1,0,Betis,5,0,1,Jose Maria Sanchez Martinez,5.72,0.28,Ciudad de Valencia,"Valencia, Spain",13957
Round 13,28/11/15,Barcelona,0,0,0,Real Sociedad,5,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Spotify Camp Nou,"Barcelona, Spain",74020
Round 13,28/11/15,Atl. Madrid,0,0,0,Espanyol,4,0,0,Inaki Vicandi Garrido,4.39,0.32,Vicente Calderón,"Madrid, Spain",44983
Round 13,28/11/15,Málaga,3,0,1,Granada,6,0,0,Javier Estrada Fernandez,5.38,0.25,La Rosaleda,"Malaga, Spain",22931
Round 13,28/11/15,Las Palmas,4,0,0,Deportivo,3,0,0,Carlos Clos Gomez,5.33,0.3,Gran Canaria,"Las Palmas de Gran Canaria, Spain",19146
Round 13,28/11/15,Celta,3,0,0,Sporting,0,0,0,Santiago Jaime Latre,5.58,0.22,Municipal de Balaidos,"Vigo, Spain",17987
Round 13,29/11/15,Getafe,4,0,0,Villarreal,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",5903
Round 13,29/11/15,Eibar,3,0,0,Real Madrid,4,0,0,Jesus Gil Manzano,5.28,0.26,Ipurua Municipal Stadium,"Eibar, Spain",5892
Round 13,29/11/15,Rayo Vallecano,4,0,0,Athletic Club,0,1,0,Alejandro Hernandez,5.52,0.27,Estadio de Vallecas,"Madrid, Spain",13205
Round 13,29/11/15,Sevilla,3,0,0,Valencia,4,0,2,Carlos Velasco Carballo,5.42,0.29,Ramón Sánchez Pizjuán,"Seville, Spain",34914
Round 12,21/11/15,Real Sociedad,2,0,0,Sevilla,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Reale Arena,"San Sebastian, Spain",19865
Round 12,21/11/15,Real Madrid,3,1,0,Barcelona,2,0,0,David Fernandez Borbalan,5.63,0.31,Santiago Bernabéu,"Madrid, Spain",80500
Round 12,21/11/15,Espanyol,5,0,0,Málaga,2,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",13293
Round 12,21/11/15,Valencia,3,0,0,Las Palmas,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Mestalla,"Valencia, Spain",32078
Round 12,21/11/15,Deportivo,6,0,0,Celta,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Riazor,"La Coruna, Spain",30666
Round 12,22/11/15,Sporting,4,0,0,Levante,5,0,0,Mario Melero Lopez,5.53,0.2,El Molinón,"Gijon, Spain",19870
Round 12,22/11/15,Villarreal,3,0,0,Eibar,3,0,1,Eduardo Prieto Iglesias,4.81,0.21,Estadio de la Ceramica,"Villarreal, Spain",16770
Round 12,22/11/15,Granada,6,0,0,Athletic Club,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",12979
Round 12,22/11/15,Betis,1,0,0,Atl. Madrid,4,0,0,Santiago Jaime Latre,5.58,0.22,Benito Villamarin,"Seville, Spain",41976
Round 12,23/11/15,Getafe,5,0,0,Rayo Vallecano,4,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Coliseum Alfonso Pérez,"Getafe, Spain",5103
Round 11,06/11/15,Las Palmas,1,0,0,Real Sociedad,4,0,0,Carlos Velasco Carballo,5.42,0.29,Gran Canaria,"Las Palmas de Gran Canaria, Spain",18461
Round 11,07/11/15,Celta,1,0,0,Valencia,3,0,0,Inaki Vicandi Garrido,4.39,0.32,Municipal de Balaidos,"Vigo, Spain",18000
Round 11,07/11/15,Levante,4,0,0,Deportivo,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Ciudad de Valencia,"Valencia, Spain",13771
Round 11,07/11/15,Eibar,3,0,0,Getafe,1,1,0,Ignacio Iglesias Villanueva,5.62,0.35,Ipurua Municipal Stadium,"Eibar, Spain",5327
Round 11,07/11/15,Rayo Vallecano,3,0,1,Granada,3,0,0,Jesus Gil Manzano,5.28,0.26,Estadio de Vallecas,"Madrid, Spain",10142
Round 11,07/11/15,Málaga,2,0,0,Betis,5,0,0,Eduardo Prieto Iglesias,4.81,0.21,La Rosaleda,"Malaga, Spain",23699
Round 11,08/11/15,Athletic Club,2,0,0,Espanyol,6,0,0,Alberto Undiano,4.53,0.14,San Mamés,"Bilbao, Spain",44082
Round 11,08/11/15,Barcelona,5,0,0,Villarreal,3,0,0,Carlos Clos Gomez,5.33,0.3,Spotify Camp Nou,"Barcelona, Spain",74109
Round 11,08/11/15,Atl. Madrid,4,0,0,Sporting,3,0,0,Javier Estrada Fernandez,5.38,0.25,Vicente Calderón,"Madrid, Spain",49323
Round 11,08/11/15,Sevilla,1,0,0,Real Madrid,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",40377
Round 10,30/10/15,Deportivo,2,0,0,Atl. Madrid,0,0,0,Pedro Jesus Perez Montero,5.26,0.25,Riazor,"La Coruna, Spain",
Round 10,31/10/15,Real Madrid,0,0,0,Las Palmas,3,0,0,Santiago Jaime Latre,5.58,0.22,Santiago Bernabéu,"Madrid, Spain",72387
Round 10,31/10/15,Valencia,2,0,0,Levante,3,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Mestalla,"Valencia, Spain",39053
Round 10,31/10/15,Villarreal,5,0,0,Sevilla,3,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Estadio de la Ceramica,"Villarreal, Spain",16730
Round 10,31/10/15,Getafe,3,0,0,Barcelona,0,0,0,Juan Martinez Munuera,4.9,0.19,Coliseum Alfonso Pérez,"Getafe, Spain",10089
Round 10,31/10/15,Real Sociedad,2,0,0,Celta,5,0,0,David Fernandez Borbalan,5.63,0.31,Reale Arena,"San Sebastian, Spain",19729
Round 10,01/11/15,Eibar,2,0,0,Rayo Vallecano,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Ipurua Municipal Stadium,"Eibar, Spain",5353
Round 10,01/11/15,Espanyol,2,0,1,Granada,6,0,0,Alejandro Hernandez,5.52,0.27,RCDE Stadium,"Cornella, Spain",18890
Round 10,01/11/15,Sporting,1,0,0,Málaga,3,0,0,Antonio Mateu Lahoz,5.18,0.22,El Molinón,"Gijon, Spain",22506
Round 10,01/11/15,Betis,2,0,0,Athletic Club,4,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Benito Villamarin,"Seville, Spain",25872
Round 9,23/10/15,Rayo Vallecano,3,0,1,Espanyol,2,0,1,Eduardo Prieto Iglesias,4.81,0.21,Estadio de Vallecas,"Madrid, Spain",10480
Round 9,24/10/15,Celta,5,0,1,Real Madrid,1,0,0,Carlos Clos Gomez,5.33,0.3,Municipal de Balaidos,"Vigo, Spain",25494
Round 9,24/10/15,Granada,3,0,0,Betis,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",18293
Round 9,24/10/15,Sevilla,1,0,0,Getafe,2,0,1,Inaki Vicandi Garrido,4.39,0.32,Ramón Sánchez Pizjuán,"Seville, Spain",34595
Round 9,24/10/15,Málaga,0,0,0,Deportivo,1,0,0,Carlos Velasco Carballo,5.42,0.29,La Rosaleda,"Malaga, Spain",20654
Round 9,25/10/15,Levante,4,0,1,Real Sociedad,3,0,0,Alberto Undiano,4.53,0.14,Ciudad de Valencia,"Valencia, Spain",14270
Round 9,25/10/15,Las Palmas,1,0,0,Villarreal,2,0,0,Javier Estrada Fernandez,5.38,0.25,Gran Canaria,"Las Palmas de Gran Canaria, Spain",18517
Round 9,25/10/15,Barcelona,3,1,0,Eibar,5,0,0,Carlos Del Cerro Grande,4.81,0.22,Spotify Camp Nou,"Barcelona, Spain",78228
