Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,19/05/18,Celta,1,0,0,Levante,3,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Municipal de Balaidos,"Vigo, Spain",10851
Round 38,19/05/18,Leganés,1,0,1,Betis,0,0,0,Jesus Gil Manzano,5.28,0.26,Estadio Municipal de Butarque,"Leganes, Spain",10813
Round 38,19/05/18,Las Palmas,1,0,0,Girona,2,0,0,Santiago Jaime Latre,5.58,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",6362
Round 38,19/05/18,Málaga,4,0,0,Getafe,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,La Rosaleda,"Malaga, Spain",9570
Round 38,19/05/18,Sevilla,2,0,0,Alavés,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",22513
Round 38,19/05/18,Villarreal,4,0,0,Real Madrid,3,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Estadio de la Ceramica,"Villarreal, Spain",18891
Round 38,20/05/18,Valencia,0,0,0,Deportivo,0,0,0,David Medie Jimenez,4.94,0.31,Mestalla,"Valencia, Spain",35376
Round 38,20/05/18,Athletic Club,0,0,0,Espanyol,1,0,0,David Fernandez Borbalan,5.63,0.31,San Mamés,"Bilbao, Spain",28492
Round 38,20/05/18,Atl. Madrid,5,0,1,Eibar,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Cívitas Metropolitano,"Madrid, Spain",63229
Round 38,20/05/18,Barcelona,3,0,0,Real Sociedad,2,0,0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",84168
Round 37,12/5/2018,Real Sociedad,1,0,0,Leganés,2,0,0,David Medie Jimenez,4.94,0.31,Reale Arena,"San Sebastian, Spain",19981
Round 37,12/5/2018,Alavés,2,0,0,Athletic Club,5,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19458
Round 37,12/5/2018,Deportivo,3,0,0,Villarreal,0,0,0,Alejandro Hernandez,5.52,0.27,Riazor,"La Coruna, Spain",12789
Round 37,12/5/2018,Eibar,3,0,0,Las Palmas,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5107
Round 37,12/5/2018,Getafe,3,0,0,Atl. Madrid,2,0,0,Javier Alberola Rojas,3.71,0.15,Coliseum Alfonso Pérez,"Getafe, Spain",12187
Round 37,12/5/2018,Girona,2,0,0,Valencia,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadi Montilivi,"Girona, Spain",10850
Round 37,12/5/2018,Betis,1,0,0,Sevilla,4,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Benito Villamarin,"Seville, Spain",55588
Round 37,12/5/2018,Real Madrid,0,0,0,Celta,1,0,0,Pablo Gonzales Fuertes,5.91,0.37,Santiago Bernabéu,"Madrid, Spain",56474
Round 37,13/05/18,Espanyol,0,0,0,Málaga,2,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",15004
Round 37,13/05/18,Levante,6,0,0,Barcelona,7,0,0,Mario Melero Lopez,5.53,0.2,Ciudad de Valencia,"Valencia, Spain",22383
Round 36,4/5/2018,Sevilla,4,0,0,Real Sociedad,2,0,0,Santiago Jaime Latre,5.58,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",34733
Round 36,5/5/2018,Girona,2,0,0,Eibar,5,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Estadi Montilivi,"Girona, Spain",9706
Round 36,5/5/2018,Athletic Club,0,0,0,Betis,2,0,0,Javier Alberola Rojas,3.71,0.15,San Mamés,"Bilbao, Spain",34491
Round 36,5/5/2018,Celta,4,0,0,Deportivo,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",20816
Round 36,5/5/2018,Villarreal,5,0,0,Valencia,3,0,0,Jesus Gil Manzano,5.28,0.26,Estadio de la Ceramica,"Villarreal, Spain",19079
Round 36,6/5/2018,Málaga,2,0,0,Alavés,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,La Rosaleda,"Malaga, Spain",14024
Round 36,6/5/2018,Atl. Madrid,1,0,0,Espanyol,3,0,0,José Luis Munuera Montero,4.75,0.37,Cívitas Metropolitano,"Madrid, Spain",49834
Round 36,6/5/2018,Las Palmas,0,0,0,Getafe,2,0,0,Alberto Undiano,4.53,0.14,Gran Canaria,"Las Palmas de Gran Canaria, Spain",4624
Round 36,6/5/2018,Barcelona,3,1,0,Real Madrid,5,0,0,Alejandro Hernandez,5.52,0.27,Spotify Camp Nou,"Barcelona, Spain",97939
Round 36,7/5/2018,Leganés,5,1,0,Levante,1,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Estadio Municipal de Butarque,"Leganes, Spain",7832
Round 35,27/04/18,Levante,1,0,0,Sevilla,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ciudad de Valencia,"Valencia, Spain",17240
Round 35,28/04/18,Espanyol,2,0,0,Las Palmas,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,RCDE Stadium,"Cornella, Spain",13589
Round 35,28/04/18,Real Sociedad,3,1,0,Athletic Club,6,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Reale Arena,"San Sebastian, Spain",23972
Round 35,28/04/18,Real Madrid,0,0,0,Leganés,1,1,0,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",59905
Round 35,28/04/18,Villarreal,2,0,0,Celta,0,0,0,Javier Alberola Rojas,3.71,0.15,Estadio de la Ceramica,"Villarreal, Spain",14135
Round 35,29/04/18,Getafe,6,1,0,Girona,4,0,0,Alejandro Hernandez,5.52,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",8011
Round 35,29/04/18,Alavés,5,0,0,Atl. Madrid,5,0,1,David Fernandez Borbalan,5.63,0.31,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18944
Round 35,29/04/18,Valencia,2,0,0,Eibar,3,0,0,Santiago Jaime Latre,5.58,0.22,Mestalla,"Valencia, Spain",40328
Round 35,29/04/18,Deportivo,1,0,0,Barcelona,1,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Riazor,"La Coruna, Spain",25721
Round 35,30/04/18,Betis,1,0,0,Málaga,4,0,0,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",53163
Round 34,20/04/18,Leganés,0,0,0,Deportivo,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Estadio Municipal de Butarque,"Leganes, Spain",10124
Round 34,21/04/18,Eibar,4,0,0,Getafe,1,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Ipurua Municipal Stadium,"Eibar, Spain",4860
Round 34,21/04/18,Celta,1,0,0,Valencia,2,0,0,Alberto Undiano,4.53,0.14,Municipal de Balaidos,"Vigo, Spain",17316
Round 34,22/04/18,Girona,1,0,0,Espanyol,2,0,0,Javier Alberola Rojas,3.71,0.15,Estadi Montilivi,"Girona, Spain",12313
Round 34,22/04/18,Málaga,4,0,0,Real Sociedad,1,0,0,Javier Estrada Fernandez,5.38,0.25,La Rosaleda,"Malaga, Spain",14102
Round 34,22/04/18,Las Palmas,2,0,0,Alavés,2,0,0,Mario Melero Lopez,5.53,0.2,Gran Canaria,"Las Palmas de Gran Canaria, Spain",7143
Round 34,22/04/18,Atl. Madrid,2,0,0,Betis,5,0,0,Juan Martinez Munuera,4.9,0.19,Cívitas Metropolitano,"Madrid, Spain",67703
Round 34,23/04/18,Athletic Club,3,0,0,Levante,3,0,0,José Luis Munuera Montero,4.75,0.37,San Mamés,"Bilbao, Spain",24587
Round 34,9/5/2018,Barcelona,0,0,0,Villarreal,3,0,0,Jose Maria Sanchez Martinez,5.72,0.28,Spotify Camp Nou,"Barcelona, Spain",54743
Round 34,9/5/2018,Sevilla,3,0,0,Real Madrid,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",38524
Round 33,17/04/18,Deportivo,0,0,0,Sevilla,2,0,0,David Medie Jimenez,4.94,0.31,Riazor,"La Coruna, Spain",24374
Round 33,17/04/18,Celta,3,0,0,Barcelona,0,1,0,David Fernandez Borbalan,5.63,0.31,Municipal de Balaidos,"Vigo, Spain",20347
Round 33,17/04/18,Villarreal,1,0,0,Leganés,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Estadio de la Ceramica,"Villarreal, Spain",12556
Round 33,18/04/18,Espanyol,3,0,0,Eibar,2,0,0,Alejandro Hernandez,5.52,0.27,RCDE Stadium,"Cornella, Spain",12113
Round 33,18/04/18,Valencia,1,1,0,Getafe,7,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Mestalla,"Valencia, Spain",35829
Round 33,18/04/18,Real Madrid,2,0,0,Athletic Club,4,0,0,Juan Martinez Munuera,4.9,0.19,Santiago Bernabéu,"Madrid, Spain",59193
Round 33,19/04/18,Alavés,4,0,0,Girona,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18366
Round 33,19/04/18,Real Sociedad,1,0,0,Atl. Madrid,0,0,0,Javier Alberola Rojas,3.71,0.15,Reale Arena,"San Sebastian, Spain",21404
Round 33,19/04/18,Levante,1,0,0,Málaga,1,0,0,Santiago Jaime Latre,5.58,0.22,Ciudad de Valencia,"Valencia, Spain",17372
Round 33,19/04/18,Betis,3,0,0,Las Palmas,4,0,1,Jose Maria Sanchez Martinez,5.72,0.28,Benito Villamarin,"Seville, Spain",45151
Round 32,13/04/18,Girona,7,0,0,Betis,5,0,0,Santiago Jaime Latre,5.58,0.22,Estadi Montilivi,"Girona, Spain",11286
